model_name,exposure_label,model_family,term,estimate_log,std_error,statistic,p_value,irr,conf_low_95,conf_high_95
continuous_ONI_lag3y,"Annual mean ONI, 3-year lag",quasi_poisson,(Intercept),-15.2380354958999,0.0569704929402045,-267.472417904011,3.26189420407385e-43,2.41104473859209e-07,2.15630905423893e-07,2.69587363651095e-07
continuous_ONI_lag3y,"Annual mean ONI, 3-year lag",quasi_poisson,oni_lag3y,-0.118256850080233,0.0931365172251301,-1.26971518372737,0.216359981149336,0.888467820274203,0.740222528469424,1.06640238212555
continuous_ONI_lag3y,"Annual mean ONI, 3-year lag",quasi_poisson,year_centered,-0.00498991620244903,0.007264915406428,-0.686851246476174,0.498759981686402,0.995022512747671,0.980954550359261,1.00929222512102
continuous_ONI_lag3y,"Annual mean ONI, 3-year lag",negative_binomial,(Intercept),-15.2393499449626,0.0514212300095193,-296.362999137543,0,2.40787762505611e-07,2.17702680540209e-07,2.66320774868687e-07
continuous_ONI_lag3y,"Annual mean ONI, 3-year lag",negative_binomial,oni_lag3y,-0.118809494122216,0.0832693344922647,-1.4268096994729,0.153634754627526,0.887976949477738,0.754260568033637,1.04539876035071
continuous_ONI_lag3y,"Annual mean ONI, 3-year lag",negative_binomial,year_centered,-0.00435150795980043,0.00660386200881813,-0.658933810850358,0.509938273013282,0.995657946132804,0.982853623854483,1.00862907928207
phase_lag1y,"ENSO phase, 1-year lag",quasi_poisson,(Intercept),-15.2823879499074,0.0777820859182096,-196.476962137237,1.34030533372598e-38,2.3064457449198e-07,1.98031280123634e-07,2.68628873728307e-07
phase_lag1y,"ENSO phase, 1-year lag",quasi_poisson,enso_phase_lag1yEl Nino,0.244474577060144,0.138960788062608,1.75930620766196,0.0918233112563624,1.27695019798359,0.972496728463929,1.67671701138355
phase_lag1y,"ENSO phase, 1-year lag",quasi_poisson,enso_phase_lag1yLa Nina,0.00606890201546945,0.129569955167772,0.0468388061693099,0.963046030305742,1.00608735511243,0.780447184503882,1.29696382563104
phase_lag1y,"ENSO phase, 1-year lag",quasi_poisson,year_centered,-0.0068934610896606,0.00690927531533687,-0.99771116000528,0.328801062355704,0.993130244311207,0.979771751861941,1.00667087032391
phase_lag1y,"ENSO phase, 1-year lag",negative_binomial,(Intercept),-15.2821565269828,0.06954485568534,-219.745319425607,0,2.306979571107e-07,2.01301018615731e-07,2.64387869376092e-07
phase_lag1y,"ENSO phase, 1-year lag",negative_binomial,enso_phase_lag1yEl Nino,0.239497634713264,0.132242314725481,1.81105144151804,0.0701328891359206,1.27061067926377,0.980495422249402,1.64656709416892
phase_lag1y,"ENSO phase, 1-year lag",negative_binomial,enso_phase_lag1yLa Nina,0.00744682306567586,0.115458605554168,0.0644977741583941,0.948573879387635,1.00747461960837,0.803440583359163,1.26332317557487
phase_lag1y,"ENSO phase, 1-year lag",negative_binomial,year_centered,-0.00574896059307452,0.00637089231017593,-0.902379182252378,0.366855475870678,0.994267533058622,0.981929358547696,1.00676073964893
phase_lag2y,"ENSO phase, 2-year lag",quasi_poisson,(Intercept),-15.2340823353799,0.0793142752313248,-192.072389124767,2.25707150819644e-38,2.42059484958847e-07,2.0720891222166e-07,2.82771593317681e-07
phase_lag2y,"ENSO phase, 2-year lag",quasi_poisson,enso_phase_lag2yEl Nino,-0.034890369418305,0.174480549701932,-0.199967099358116,0.843263816849475,0.965711281943991,0.68600370744362,1.3594653643334
phase_lag2y,"ENSO phase, 2-year lag",quasi_poisson,enso_phase_lag2yLa Nina,0.0309913242602958,0.134568152172358,0.230302071924131,0.819893128990492,1.0314765550256,0.792341927259052,1.3427837742324
phase_lag2y,"ENSO phase, 2-year lag",quasi_poisson,year_centered,-0.00617440254735244,0.00760698115146912,-0.811675804686329,0.425298614396518,0.99384461990516,0.979136629812781,1.00877354440646
phase_lag2y,"ENSO phase, 2-year lag",negative_binomial,(Intercept),-15.2356197524143,0.0708350505186022,-215.085888142527,0,2.41687624508875e-07,2.10357693792734e-07,2.77683724267758e-07
phase_lag2y,"ENSO phase, 2-year lag",negative_binomial,enso_phase_lag2yEl Nino,-0.0334448001903232,0.154777628188417,-0.216082909279431,0.828923121443615,0.967108293951794,0.714045244188332,1.30985880774757
phase_lag2y,"ENSO phase, 2-year lag",negative_binomial,enso_phase_lag2yLa Nina,0.0319510828622015,0.120223677328072,0.265763646332426,0.790421242634006,1.03246699873936,0.815717385994512,1.30681057163717
phase_lag2y,"ENSO phase, 2-year lag",negative_binomial,year_centered,-0.00598102022420196,0.00679246577877627,-0.880537409977133,0.378568248395515,0.994036830471072,0.98089068959766,1.00735915919263
phase_lag3y,"ENSO phase, 3-year lag",quasi_poisson,(Intercept),-15.2139297062939,0.0737721663076124,-206.228588202974,4.40160414228758e-39,2.46987105460643e-07,2.13736230000097e-07,2.85410808751511e-07
phase_lag3y,"ENSO phase, 3-year lag",quasi_poisson,enso_phase_lag3yEl Nino,-0.19803930113684,0.178898904543214,-1.106990015632,0.279741991040984,0.820337612303529,0.577711220286968,1.16486191461813
phase_lag3y,"ENSO phase, 3-year lag",quasi_poisson,enso_phase_lag3yLa Nina,0.0407980672929469,0.132721539651242,0.307395976569846,0.761308166141931,1.04164174276974,0.803051726599303,1.35111784750792
phase_lag3y,"ENSO phase, 3-year lag",quasi_poisson,year_centered,-0.00596292190594526,0.00739665151388416,-0.806165045730806,0.428404843789355,0.994054821028788,0.979747534000999,1.00857103786246
phase_lag3y,"ENSO phase, 3-year lag",negative_binomial,(Intercept),-15.2156352883527,0.0661281238693542,-230.093255305616,0,2.46566207724666e-07,2.16592872080494e-07,2.80687421556187e-07
phase_lag3y,"ENSO phase, 3-year lag",negative_binomial,enso_phase_lag3yEl Nino,-0.198069988173615,0.151665989246158,-1.30596179906981,0.191565548814001,0.820312438959302,0.609366535921653,1.1042820008053
phase_lag3y,"ENSO phase, 3-year lag",negative_binomial,enso_phase_lag3yLa Nina,0.0434599933482921,0.119568488860712,0.363473635590726,0.716251103930448,1.04441820980065,0.826219960572791,1.32024091527269
phase_lag3y,"ENSO phase, 3-year lag",negative_binomial,year_centered,-0.00508554429369906,0.00656821643935127,-0.774265638268362,0.43877371940981,0.994927365193488,0.982201057694588,1.00781856653086
